,stalk-color-below-ring,stalk-shape,veil-type,gill-spacing,class,spore-print-color,stalk-surface-below-ring,ring-number,cap-shape,gill-attachment,ring-type,bruises,stalk-root,stalk-surface-above-ring,gill-color,stalk-color-above-ring,habitat,population,cap-surface,veil-color,cap-color,odor,gill-size,d-var
6266,w,t,p,w,e,k,s,o,x,f,e,f,e,s,h,w,g,s,f,w,g,n,b,g
6267,w,t,p,c,e,k,s,o,x,f,p,t,b,s,p,p,d,y,y,w,g,n,b,g
6268,w,e,p,c,p,k,s,o,f,f,p,t,e,s,k,w,u,s,s,w,n,p,n,n
6269,w,e,p,c,p,k,s,o,f,f,p,t,e,s,n,w,g,v,y,w,w,p,n,w
6270,w,t,p,w,e,n,s,o,f,f,e,f,e,f,k,w,g,a,f,w,w,n,b,w
6271,n,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,p,y,y,w,y,f,b,y
6272,w,t,p,c,e,n,s,o,f,f,p,t,b,s,w,g,d,v,f,w,e,n,b,e
6273,w,e,p,c,e,k,s,o,x,f,p,t,c,s,g,w,g,n,s,w,y,l,b,y
6274,w,t,p,c,p,h,s,o,x,f,p,t,b,s,h,w,g,s,s,w,g,f,b,g
6275,w,e,p,c,e,k,y,o,f,f,p,t,r,s,n,w,p,s,y,w,n,l,b,n
6276,w,e,p,c,e,k,y,o,x,f,p,t,r,s,p,w,g,s,y,w,n,a,b,n
6277,e,e,p,c,e,w,s,t,x,f,e,t,?,s,e,w,w,c,s,w,b,n,b,b
6278,w,e,p,c,p,r,s,t,b,f,p,t,b,s,r,w,m,v,s,w,b,n,b,b
6279,w,t,p,c,p,h,s,o,x,f,p,t,b,s,p,w,u,v,s,w,g,f,b,g
6280,w,e,p,c,e,n,s,o,x,f,p,t,c,s,g,w,g,s,s,w,y,l,b,y
6281,w,t,p,w,e,u,s,o,x,f,p,t,b,s,w,w,d,v,s,w,y,l,n,y
6282,w,t,p,c,e,n,s,o,f,f,p,t,b,s,u,p,d,v,f,w,e,n,b,e
6283,w,e,p,c,e,n,s,o,b,f,p,t,c,s,w,w,m,s,s,w,y,l,b,y
6284,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,p,v,s,w,e,s,n,e
6285,w,t,p,w,e,n,s,o,x,f,e,f,e,f,p,w,g,s,f,w,g,n,b,g
6286,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,l,v,s,w,n,s,n,n
6287,w,e,p,c,p,n,s,o,f,f,p,t,e,s,p,w,u,s,s,w,n,p,n,n
6288,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,d,y,f,w,y,f,b,y
6289,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,p,v,y,w,n,s,n,n
6290,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,p,v,y,w,g,f,b,g
6291,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,d,y,f,w,y,f,b,y
6292,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,d,v,s,w,n,s,n,n
6293,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,g,v,y,w,y,f,b,y
6294,n,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,g,v,y,w,y,f,b,y
6295,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,g,s,s,w,y,l,b,y
6296,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,p,v,s,w,n,y,n,n
6297,w,e,p,c,p,k,s,o,x,f,p,t,e,s,k,w,u,s,s,w,w,p,n,w
6298,e,e,p,c,e,w,s,t,f,f,e,t,?,s,e,w,w,c,y,w,p,n,b,p
6299,w,e,p,c,e,k,y,o,x,f,p,t,r,s,n,w,p,y,y,w,y,l,b,y
6300,w,t,p,w,e,n,f,o,x,f,e,f,e,f,p,w,g,a,s,w,n,n,b,n
6301,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,g,n,y,w,y,a,b,y
6302,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,p,v,s,w,e,f,n,e
6303,w,e,p,w,p,k,s,o,x,f,p,f,b,s,u,w,d,s,s,w,w,c,n,w
6304,w,t,p,c,p,h,f,o,f,f,p,t,b,f,h,w,u,v,s,w,g,f,b,g
6305,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,d,v,f,w,g,f,b,g
6306,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,p,v,y,w,g,f,b,g
6307,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,d,v,s,w,n,s,n,n
6308,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,p,v,f,w,y,f,b,y
6309,w,t,p,w,e,n,s,o,f,f,e,f,e,s,n,w,g,a,s,w,w,n,b,w
6310,w,t,p,c,e,n,s,o,x,f,p,t,b,s,w,g,d,y,y,w,g,n,b,g
6311,w,e,p,w,p,k,s,o,x,f,p,f,b,s,u,w,d,s,f,w,w,c,n,w
6312,p,t,p,c,e,n,s,o,x,f,p,t,b,s,n,p,d,v,f,w,n,n,b,n
6313,w,t,p,w,e,n,s,o,x,f,e,f,e,s,k,w,g,a,f,w,n,n,b,n
6314,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,p,v,f,w,y,f,b,y
6315,w,e,p,c,p,r,s,t,b,f,p,t,b,s,r,w,m,v,y,w,w,n,b,w
6316,w,e,p,c,e,w,s,t,k,f,e,t,?,s,e,e,w,c,y,w,e,n,b,e
6317,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,d,v,s,w,e,s,n,e
6318,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,p,d,v,s,w,n,y,n,n
6319,w,e,p,w,e,w,s,t,b,f,p,f,?,s,w,w,g,n,s,w,g,n,b,g
6320,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,d,y,f,w,g,f,b,g
6321,p,t,p,c,e,k,s,o,x,f,p,t,b,s,u,g,d,y,f,w,e,n,b,e
6322,w,t,p,w,e,k,s,o,f,f,e,f,e,f,p,w,g,a,f,w,g,n,b,g
6323,w,t,p,c,e,n,s,o,f,f,p,t,b,s,u,p,d,y,f,w,g,n,b,g
6324,p,t,p,c,e,n,s,o,x,f,p,t,b,s,u,w,d,y,y,w,n,n,b,n
6325,n,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,v,f,w,g,f,b,g
6326,p,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,y,f,w,n,n,b,n
6327,w,t,p,w,e,n,f,o,f,f,e,f,e,s,p,w,g,a,s,w,w,n,b,w
6328,w,e,p,w,e,w,k,t,x,f,p,f,?,k,p,w,g,s,s,w,w,n,b,w
6329,w,t,p,c,p,h,s,o,f,f,p,t,b,s,w,w,u,s,s,w,w,f,b,w
6330,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,g,d,v,y,w,g,n,b,g
6331,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,g,y,y,w,g,f,b,g
6332,w,t,p,c,p,h,f,o,x,f,p,t,b,f,w,w,u,s,s,w,g,f,b,g
6333,w,e,p,w,e,w,k,t,b,f,p,f,?,s,w,w,g,s,f,w,w,n,b,w
6334,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,g,y,y,w,g,f,b,g
6335,o,e,p,c,e,y,s,o,b,a,p,f,?,s,o,o,l,v,s,o,n,n,b,n
6336,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,v,y,w,g,n,b,g
6337,w,t,p,w,e,n,f,o,x,f,e,f,e,f,h,w,g,a,f,w,w,n,b,w
6338,w,t,p,c,p,h,s,o,f,f,p,t,b,f,h,w,u,v,s,w,b,f,b,b
6339,w,t,p,c,p,h,f,o,x,f,p,t,b,f,w,w,u,v,s,w,w,f,b,w
6340,p,t,p,c,e,k,s,o,x,f,p,t,b,s,u,p,d,v,f,w,e,n,b,e
6341,w,t,p,w,e,k,f,o,f,f,e,f,e,f,k,w,g,a,f,w,n,n,b,n
6342,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,p,d,y,f,w,n,n,b,n
6343,w,t,p,w,e,n,f,o,x,f,e,f,e,s,h,w,g,a,f,w,g,n,b,g
6344,w,t,p,w,e,n,f,o,x,f,e,f,e,s,k,w,g,s,s,w,n,n,b,n
6345,w,t,p,w,e,k,s,o,x,f,e,f,e,s,p,w,g,a,s,w,n,n,b,n
6346,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,d,v,y,w,e,f,n,e
6347,w,t,p,w,e,n,f,o,x,f,e,f,e,f,h,w,g,s,f,w,g,n,b,g
6348,w,e,p,c,p,n,s,o,f,f,p,t,e,s,n,w,g,v,s,w,n,p,n,n
6349,w,t,p,w,e,k,s,o,f,f,e,f,e,f,p,w,g,s,f,w,w,n,b,w
6350,w,t,p,c,e,k,s,o,x,f,p,t,b,s,w,p,d,y,y,w,n,n,b,n
6351,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,l,v,y,w,n,y,n,n
6352,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,l,v,y,w,e,f,n,e
6353,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,d,v,y,w,g,f,b,g
6354,g,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,v,y,w,n,n,b,n
6355,p,t,p,c,e,k,s,o,x,f,p,t,b,s,p,g,d,y,y,w,n,n,b,n
6356,n,e,p,w,e,w,s,o,x,f,e,f,b,s,w,w,l,v,y,w,c,n,n,c
6357,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,l,v,s,w,n,s,n,n
6358,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,p,v,s,w,n,y,n,n
6359,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,g,y,f,w,g,f,b,g
6360,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,d,v,s,w,n,y,n,n
6361,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,g,v,y,w,y,f,b,y
6362,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,w,d,y,f,w,g,n,b,g
6363,w,e,p,w,e,w,k,t,b,f,p,f,?,k,w,w,g,n,s,w,g,n,b,g
6364,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,g,v,f,w,g,f,b,g
6365,n,e,p,c,p,w,y,o,x,f,e,f,?,k,w,w,d,v,f,w,y,n,n,y
6366,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,d,v,y,w,n,s,n,n
6367,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,d,v,s,w,n,y,n,n
6368,w,e,p,w,e,w,s,t,x,f,p,f,?,s,p,w,g,s,f,w,g,n,b,g
6369,w,t,p,w,e,k,f,o,f,f,e,f,e,f,k,w,g,a,f,w,g,n,b,g
6370,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,g,v,y,w,y,f,b,y
6371,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,l,v,y,w,e,f,n,e
6372,w,t,p,w,e,k,s,o,f,f,e,f,e,s,k,w,g,a,s,w,n,n,b,n
6373,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,d,v,y,w,y,f,b,y
6374,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,l,v,s,w,e,y,n,e
6375,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,d,v,s,w,e,y,n,e
6376,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,l,v,s,w,e,y,n,e
6377,w,t,p,w,e,k,s,o,x,f,e,f,e,f,k,w,g,a,f,w,w,n,b,w
6378,w,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,l,v,y,w,n,s,n,n
6379,w,e,p,c,e,n,s,o,x,f,p,t,c,s,k,w,g,n,y,w,w,a,b,w
6380,w,e,p,w,e,w,k,t,k,f,p,f,?,s,p,w,g,n,s,w,w,n,b,w
6381,w,e,p,c,e,n,s,o,s,f,p,f,e,s,k,w,u,v,f,w,g,n,n,g
6382,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,p,y,y,w,y,f,b,y
6383,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,m,n,s,w,y,a,b,y
6384,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,g,s,y,w,y,l,b,y
6385,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,d,y,y,w,g,f,b,g
6386,w,e,p,c,p,k,s,o,x,f,p,f,b,s,g,w,d,v,s,w,w,c,n,w
6387,w,e,p,c,e,k,y,o,f,f,p,t,r,s,n,w,p,s,y,w,y,a,b,y
6388,w,t,p,c,e,k,s,o,f,f,p,t,b,s,n,p,d,y,y,w,g,n,b,g
6389,p,t,p,c,e,k,s,o,x,f,p,t,b,s,w,w,d,v,f,w,e,n,b,e
6390,o,e,p,c,e,o,s,o,b,a,p,f,?,s,o,o,l,c,s,n,n,n,b,n
6391,w,t,p,c,e,k,s,o,x,f,p,t,b,s,p,p,d,y,y,w,n,n,b,n
6392,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,g,y,y,w,g,f,b,g
6393,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,y,f,w,n,n,b,n
6394,w,t,p,w,e,n,f,o,f,f,e,f,e,s,h,w,g,a,s,w,n,n,b,n
6395,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,d,v,s,w,n,y,n,n
6396,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,d,v,f,w,g,f,b,g
6397,w,e,p,c,p,k,s,o,f,f,p,t,e,s,n,w,u,v,y,w,w,p,n,w
6398,w,e,p,c,e,k,s,o,x,f,p,t,c,s,k,w,g,n,y,w,y,l,b,y
6399,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,l,v,y,w,n,f,n,n
6400,w,e,p,c,p,k,s,o,x,f,p,t,e,s,k,w,u,v,s,w,w,p,n,w
6401,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,l,v,s,w,n,f,n,n
6402,w,e,p,w,p,k,s,o,x,f,p,f,b,s,p,w,d,v,f,w,g,c,n,g
6403,w,e,p,c,e,k,s,o,b,f,p,t,c,s,w,w,g,n,s,w,y,l,b,y
6404,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,d,v,y,w,n,y,n,n
6405,w,t,p,w,e,u,s,o,f,f,p,t,b,s,n,w,d,v,f,w,w,a,n,w
6406,w,e,p,c,e,n,s,o,x,f,p,t,c,s,k,w,m,n,y,w,w,a,b,w
6407,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,d,v,s,w,n,y,n,n
6408,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,g,d,v,f,w,g,n,b,g
6409,w,e,p,c,p,r,s,t,f,f,p,t,b,s,w,w,m,v,y,w,b,n,b,b
6410,w,e,p,c,p,n,s,o,x,f,p,f,b,s,n,w,d,s,s,w,p,c,n,p
6411,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,p,v,y,w,n,s,n,n
6412,w,t,p,w,e,k,f,o,f,f,e,f,e,f,k,w,g,s,f,w,g,n,b,g
6413,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,d,v,s,w,n,f,n,n
6414,p,t,p,c,e,n,s,o,x,f,p,t,b,s,n,w,d,y,y,w,n,n,b,n
6415,w,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,d,v,y,w,n,f,n,n
6416,w,t,p,w,e,n,f,o,f,f,e,f,e,f,p,w,g,a,f,w,n,n,b,n
6417,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,d,y,f,w,y,f,b,y
6418,w,e,p,w,e,w,k,t,b,f,p,f,?,k,w,w,g,s,f,w,w,n,b,w
6419,w,e,p,c,p,n,s,o,f,f,p,t,e,s,p,w,u,s,y,w,n,p,n,n
6420,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,l,v,y,w,e,f,n,e
6421,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,d,y,y,w,g,f,b,g
6422,g,t,p,c,e,k,s,o,x,f,p,t,b,s,n,g,d,y,y,w,e,n,b,e
6423,o,e,p,c,e,o,s,o,f,a,p,f,?,s,y,o,l,v,s,o,n,n,b,n
6424,w,e,p,c,e,k,s,o,x,f,p,t,c,s,k,w,m,n,y,w,w,l,b,w
6425,w,t,p,w,e,n,f,o,f,f,e,f,e,s,p,w,g,s,s,w,n,n,b,n
6426,w,t,p,w,e,k,s,o,x,f,e,f,e,f,p,w,g,s,s,w,w,n,b,w
6427,n,e,p,c,e,w,y,t,b,f,p,f,b,y,w,n,p,y,y,w,n,n,b,n
6428,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,p,v,s,w,e,f,n,e
6429,w,e,p,c,e,n,s,o,b,f,p,t,c,s,w,w,m,n,s,w,y,l,b,y
6430,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,v,f,w,g,f,b,g
6431,w,e,p,c,e,n,s,o,f,f,p,f,e,s,g,w,u,v,f,w,n,n,n,n
6432,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,l,v,s,w,n,y,n,n
6433,p,t,p,c,e,k,s,o,x,f,p,t,b,s,p,p,d,v,f,w,e,n,b,e
6434,p,t,p,c,e,n,s,o,f,f,p,t,b,s,w,g,d,v,f,w,g,n,b,g
6435,p,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,v,f,w,e,n,b,e
6436,o,e,p,c,e,b,s,o,b,a,p,f,?,s,o,o,l,c,s,o,n,n,b,n
6437,w,t,p,w,e,n,f,o,f,f,e,f,e,s,p,w,g,a,f,w,w,n,b,w
6438,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,l,v,y,w,e,y,n,e
6439,g,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,y,f,w,n,n,b,n
6440,w,t,p,w,e,n,s,o,f,f,e,f,e,f,k,w,g,s,s,w,w,n,b,w
6441,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,d,v,s,w,e,y,n,e
6442,w,t,p,c,p,h,s,o,x,f,p,t,b,f,h,w,g,s,s,w,b,f,b,b
6443,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,y,f,w,y,f,b,y
6444,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,p,d,y,f,w,g,n,b,g
6445,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,m,s,y,w,y,l,b,y
6446,w,e,p,w,e,w,s,t,k,f,p,f,?,s,p,w,g,n,s,w,g,n,b,g
6447,w,e,p,c,e,k,s,o,x,f,p,t,c,s,k,w,m,s,s,w,y,l,b,y
6448,w,e,p,c,p,k,s,o,x,f,p,t,e,s,p,w,u,v,s,w,n,p,n,n
6449,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,l,v,s,w,n,y,n,n
6450,w,e,p,c,e,n,s,o,b,f,p,t,c,s,k,w,g,s,y,w,y,l,b,y
6451,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,w,d,v,y,w,g,n,b,g
6452,w,e,p,w,e,w,s,t,b,f,p,f,?,k,w,w,g,s,s,w,g,n,b,g
6453,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,d,v,s,w,n,s,n,n
6454,w,e,p,c,p,k,s,o,x,f,p,t,e,s,k,w,g,s,y,w,n,p,n,n
6455,w,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,y,y,w,n,n,b,n
6456,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,p,v,s,w,n,y,n,n
6457,w,t,p,w,e,n,s,o,f,f,e,f,e,s,k,w,g,s,f,w,g,n,b,g
6458,w,e,p,c,e,k,s,o,x,f,p,t,c,s,g,w,m,n,s,w,y,a,b,y
6459,w,t,p,c,e,k,s,o,f,f,p,t,b,s,p,p,d,v,f,w,e,n,b,e
6460,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,d,v,y,w,n,f,n,n
6461,w,e,p,w,e,w,k,t,x,f,p,f,?,k,p,w,g,n,f,w,g,n,b,g
6462,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,p,y,f,w,y,f,b,y
6463,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,m,n,s,w,w,l,b,w
6464,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,g,y,f,w,g,f,b,g
6465,w,t,p,w,e,n,s,o,f,f,e,f,e,f,p,w,g,s,s,w,g,n,b,g
6466,w,t,p,w,e,k,f,o,x,f,e,f,e,f,n,w,g,a,s,w,g,n,b,g
6467,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,d,v,y,w,n,y,n,n
6468,w,t,p,w,e,n,s,o,x,f,p,t,b,s,p,w,d,v,s,w,y,l,n,y
6469,w,e,p,w,e,w,k,t,b,f,p,f,?,k,g,w,g,n,f,w,g,n,b,g
6470,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,p,v,s,w,e,s,n,e
6471,w,t,p,c,p,h,s,o,x,f,p,t,b,s,w,w,g,s,s,w,w,f,b,w
6472,w,t,p,c,p,h,f,o,x,f,p,t,b,f,p,w,u,v,s,w,w,f,b,w
6473,p,t,p,c,e,k,s,o,f,f,p,t,b,s,u,g,d,y,y,w,e,n,b,e
6474,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,d,v,s,w,n,s,n,n
6475,w,t,p,c,p,h,f,o,f,f,p,t,b,f,w,w,g,v,s,w,w,f,b,w
6476,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,d,v,s,w,e,y,n,e
6477,w,t,p,w,e,n,s,o,x,f,e,f,e,s,h,w,g,s,f,w,w,n,b,w
6478,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,d,v,y,w,y,f,b,y
6479,w,e,p,c,e,k,s,o,b,f,p,t,c,s,w,w,m,s,s,w,y,l,b,y
6480,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,p,y,f,w,g,f,b,g
6481,w,t,p,w,e,k,f,o,x,f,e,f,e,f,h,w,g,a,f,w,n,n,b,n
6482,g,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,v,f,w,g,n,b,g
6483,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,p,v,y,w,n,y,n,n
6484,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,l,v,s,w,e,f,n,e
6485,p,t,p,c,e,k,s,o,x,f,p,t,b,s,n,g,d,y,f,w,g,n,b,g
6486,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,l,v,s,w,e,f,n,e
6487,w,e,p,w,p,k,s,o,x,f,p,f,b,s,n,w,d,v,s,w,g,c,n,g
6488,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,d,v,s,w,n,y,n,n
6489,w,t,p,w,e,n,f,o,f,f,e,f,e,s,k,w,g,a,s,w,w,n,b,w
6490,w,e,p,c,e,k,s,o,f,f,p,f,e,s,k,w,u,y,f,w,g,n,n,g
6491,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,p,y,f,w,y,f,b,y
6492,w,t,p,c,e,k,s,o,x,f,p,t,b,s,p,w,d,v,y,w,g,n,b,g
6493,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,p,d,v,y,w,n,s,n,n
6494,w,e,p,c,p,k,s,o,x,f,p,f,b,s,g,w,d,v,f,w,w,c,n,w
6495,b,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,g,y,y,w,y,f,b,y
6496,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,d,v,y,w,e,s,n,e
6497,w,t,p,c,p,h,f,o,f,f,p,t,b,f,p,w,u,v,s,w,g,f,b,g
6498,w,t,p,c,e,k,s,o,x,f,p,t,b,s,p,w,d,y,y,w,g,n,b,g
6499,w,t,p,w,e,k,f,o,x,f,e,f,e,f,h,w,g,s,f,w,g,n,b,g
6500,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,d,y,y,w,y,f,b,y
6501,w,t,p,c,p,h,s,o,x,f,p,t,b,f,h,w,u,s,s,w,w,f,b,w
6502,n,e,p,w,e,w,f,o,f,f,e,f,b,s,w,w,l,v,y,w,n,n,n,n
6503,w,e,p,c,e,k,y,o,x,f,p,t,r,s,w,w,g,y,y,w,y,l,b,y
6504,g,t,p,c,e,k,s,o,f,f,p,t,b,s,u,w,d,y,f,w,e,n,b,e
6505,w,t,p,w,e,k,f,o,x,f,e,f,e,f,h,w,g,s,s,w,n,n,b,n
6506,w,e,p,c,e,h,f,o,x,f,f,f,?,s,h,w,d,y,y,w,u,n,n,u
6507,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,p,v,y,w,g,f,b,g
6508,w,e,p,c,p,k,s,o,f,f,p,t,e,s,p,w,g,s,s,w,n,p,n,n
6509,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,m,s,y,w,y,a,b,y
6510,w,e,p,c,e,n,s,o,s,f,p,f,e,s,g,w,u,v,f,w,g,n,n,g
6511,w,t,p,w,e,k,f,o,f,f,e,f,e,f,p,w,g,a,s,w,g,n,b,g
6512,w,e,p,c,p,r,s,t,f,f,p,t,b,s,r,w,m,v,s,w,w,n,b,w
6513,w,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,y,y,w,g,n,b,g
6514,w,t,p,c,e,k,s,o,x,f,p,t,b,s,u,g,d,v,y,w,g,n,b,g
6515,w,e,p,c,e,k,s,o,x,f,p,f,e,s,p,w,u,v,f,w,n,n,n,n
6516,w,e,p,w,e,w,k,t,b,f,p,f,?,s,g,w,g,n,s,w,g,n,b,g
6517,w,e,p,c,e,n,s,o,x,f,p,t,c,s,n,w,g,n,y,w,w,l,b,w
6518,p,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,y,y,w,g,n,b,g
6519,w,e,p,c,e,k,s,o,b,f,p,t,c,s,n,w,g,n,s,w,w,l,b,w
6520,g,t,p,c,e,k,s,o,f,f,p,t,b,s,n,w,d,v,y,w,g,n,b,g
6521,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,l,v,y,w,e,y,n,e
6522,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,p,y,y,w,g,f,b,g
6523,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,g,s,s,w,w,l,b,w
6524,w,e,p,w,e,w,s,t,b,f,p,f,?,k,w,w,g,n,f,w,g,n,b,g
6525,p,t,p,c,e,n,s,o,x,f,p,t,b,s,p,g,d,y,f,w,n,n,b,n
6526,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,p,p,v,y,w,e,s,n,e
6527,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,g,v,f,w,y,f,b,y
6528,w,t,p,w,e,n,f,o,x,f,e,f,e,f,n,w,g,a,s,w,g,n,b,g
6529,w,t,p,c,p,h,s,o,x,f,p,t,b,s,h,w,u,s,s,w,b,f,b,b
6530,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,p,v,f,w,g,f,b,g
6531,w,e,p,w,e,w,s,t,b,f,p,f,?,k,g,w,g,s,f,w,g,n,b,g
6532,w,t,p,w,e,n,s,o,x,f,e,f,e,f,n,w,g,a,f,w,n,n,b,n
6533,w,t,p,w,e,n,s,o,f,f,p,t,b,s,p,w,d,v,f,w,y,a,n,y
6534,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,v,f,w,e,n,b,e
6535,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,g,y,f,w,y,f,b,y
6536,w,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,y,y,w,n,n,b,n
